Molecular_Weight,SMILES,sol_final,LogS
364.8290000000001,COC1=CC=CC=C1CCNC(=O)NC2=CC=CC=C2C(=O)OC.Cl,0.0063,-4.762748803337107
291.778,CC(C1=CC=CC=C1)NCC2=CC3=C(C=C2)OCO3.Cl,0.041,-3.8522686863593023
254.761,C1CCN(C1)CC(=O)NCC2=CC=CC=C2.Cl,0.0326,-3.8929153448623968
274.836,CC1CCN(CC1)CC(=O)NC2CCCCC2.Cl,0.0374,-3.8662020169342575
304.181,CN1N=C(N=N1)C(CNCC2=CC=C(C=C2)Cl)O.Cl,0.027,-4.051768319151484
271.7879999999999,CCOC1=CC=CC=C1CNCC2CCCO2.Cl,0.0315,-3.9359197240342807
298.8139999999999,COC1=CC=CC(=C1)NC(=O)CN2CCCCCC2.Cl,0.0441,-3.830962351668534
312.23999999999995,CCOC1=CC=C(C=C1)CNCC2=CC=CC=C2Cl.Cl,0.0316,-3.9948014556547884
327.76400000000007,CC(C)NCC#CCOC1=CC=C(C=C1)Cl.C(=O)(C(=O)O)O,0.0426,-3.8861516519623556
367.82900000000006,CC1CCN(CC1)CC#CCOC2=CC=C(C=C2)Cl.C(=O)(C(=O)O)O,0.0163,-4.353458362051878
361.4380000000001,CC1=CC(=C(C=C1)C(C)C)OCC#CCN2CCCC2.C(=O)(C(=O)O)O,0.0257,-4.148100687103761
339.7750000000001,C1CCN(C1)CC#CCOC2=CC=C(C=C2)Cl.C(=O)(C(=O)O)O,0.0451,-3.877014879266397
355.7740000000001,C1COCCN1CC#CCOC2=CC=C(C=C2)Cl.C(=O)(C(=O)O)O,0.0503,-3.8496062215668605
313.8279999999999,CNCC1=C(C=CC2=CC=CC=C21)OCC3=CC=CC=C3.Cl,0.0449,-3.8444453480978287
335.9189999999999,CC(CC12CC3CC(C1)CC(C3)C2)NCC4=CC=CC=C4O.Cl,0.0385,-3.9407738392685356
260.768,CC(CC1=CNC2=C1C=CC3=CC=CC=C32)N.Cl,0.0339,-3.8860545979208596
307.781,COC(=O)C1=CC(=NC2=CC=CC=C21)N3CCNCC3.Cl,0.0399,-3.887268910679909
